车次	站次	站名	到达时间	开车时间	停留	天数	运行时间	里程
D901	1	北京西站	始发站	20:10	0分钟	1	0分	0
D901	2	石家庄站	21:32	21:34	2分钟	1	1小时22分		281
D901	3	安阳东站	22:33	22:36	3分钟	1	2小时23分		516
D901	4	广州南站	6:28	6:33	5分钟	2	10小时18分	2298
D901	5	深圳北站	7:06	终点站	0分钟	2	10小时56分	2400
D902	1	深圳北站	始发站	19:34	0分钟	1	0分			0
D902	2	虎门站	19:52	19:54	2分钟	1	18分			52
D902	3	广州南站	20:12	20:15	3分钟	1	38分			102
D902	4	石家庄站	5:25	5:28	3分钟	2	9小时51分		2159
D902	5	高碑店东站	6:22	6:24	2分钟	2	10小时48分	2317
D902	6	北京西站	6:56	终点站	0分钟	2	11小时22分	2400
G401	1	北京西站	始发站	9:15	0分钟	1	0分	0
G401	2	保定东站	9:56	9:58	2分钟	1	41分	139
G401	3	石家庄站	10:33	10:40	7分钟	1	1小时18分		281
G401	4	邢台东站	11:08	11:10	2分钟	1	1小时53分		403
G401	5	邯郸东站	11:26	11:42	16分钟	1	2小时11分		456
G401	6	安阳东站	11:59	12:01	2分钟	1	2小时44分		516
G401	7	鹤壁东站	12:16	12:18	2分钟	1	3小时1分		562
G401	8	郑州东站	12:49	12:52	3分钟	1	3小时34分		693
G401	9	许昌东站	13:14	13:16	2分钟	1	3小时59分		784
G401	10	信阳东站	14:06	14:08	2分钟	1	4小时51分		1030
G401	11	武汉站	14:53	14:57	4分钟	1	5小时38分		1269
G401	12	赤壁北站	15:33	15:40	7分钟	1	6小时18分		0
G401	13	岳阳东站	16:01	16:03	2分钟	1	6小时46分		1484
G401	14	长沙南站	16:37	16:41	4分钟	1	7小时22分		1631
G401	15	娄底南站	17:16	17:18	2分钟	1	8小时1分		1756
G401	16	怀化南站	18:10	18:18	8分钟	1	8小时55分		1963
G401	17	凯里南站	19:17	19:19	2分钟	1	10小时2分		2210
G401	18	贵阳北站	19:57	20:02	5分钟	1	10小时42分	2297
G401	19	安顺西站	20:31	20:33	2分钟	1	11小时16分	0
G401	20	盘州站	21:12	21:14	2分钟	1	11小时57分	0
G401	21	曲靖北站	21:46	21:48	2分钟	1	12小时31分	0
G401	22	昆明南站	22:24	终点站	0分钟	1	13小时9分		0
G402	1	昆明南站	始发站	8:26	0分钟	1	0分			0
G402	2	曲靖北站	9:01	9:03	2分钟	1	35分			128
G402	3	盘州站	9:35	9:37	2分钟	1	1小时9分		212
G402	4	安顺西站	10:15	10:17	2分钟	1	1小时49分		362
G402	5	贵阳北站	10:47	11:00	13分钟	1	2小时21分		463
G402	6	凯里南站	11:38	11:40	2分钟	1	3小时12分		590
G402	7	铜仁南站	12:15	12:17	2分钟	1	3小时49分		730
G402	8	芷江站	12:38	12:40	2分钟	1	4小时12分		803
G402	9	怀化南站	12:52	12:56	4分钟	1	4小时26分		837
G402	10	娄底南站	13:47	13:49	2分钟	1	5小时21分		1044	
G402	11	韶山南站	14:07	14:11	4分钟	1	5小时41分		1103
G402	12	湘潭北站	14:25	14:27	2分钟	1	5小时59分		1143
G402	13	长沙南站	14:40	14:46	6分钟	1	6小时14分		1169
G402	14	赤壁北站	15:39	15:41	2分钟	1	7小时13分		1403
G402	15	武汉站	16:14	16:21	7分钟	1	7小时48分		1531
G402	16	信阳东站	17:05	17:07	2分钟	1	8小时39分		1730
G402	17	驻马店西站	17:33	17:35	2分钟	1	9小时7分		1848
G402	18	漯河西站	17:53	17:55	2分钟	1	9小时27分		1912
G402	19	郑州东站	18:29	18:34	5分钟	1	10小时3分		2067
G402	20	新乡东站	18:54	18:56	2分钟	1	10小时28分	2134
G402	21	安阳东站	19:22	19:24	2分钟	1	10小时56分	2244
G402	22	邯郸东站	19:41	19:46	5分钟	1	11小时15分	2304
G402	23	高邑西站	20:15	20:21	6分钟	1	11小时49分	2428
G402	24	石家庄站	20:36	20:40	4分钟	1	12小时10分	2479
G402	25	保定东站	21:16	21:18	2分钟	1	12小时50分	2621
G402	26	北京西站	21:59	终点站	0分钟	1	13小时33分	2760
